,primary_62d,wf_mar,wf_apr,wf_may,mean_gain
cust_prior_ndev,0.00011929075415871073,0.00023678193909740776,0.0001893332519923215,0.00010043376302216813,0.00016145992706765203
cust_dev_prior_n,0.00010546827223220557,0.00021478714425272118,0.00016498931807781543,0.0001418926934650256,0.00015678435700694195
gr_same_component,0.0001928828354265676,0.00012418310896128754,0.00010342926338863268,0.0001547499028894046,0.0001438112776664731
cust_prior_nloc,6.235786989475813e-05,0.00014823031665728956,0.0002661571346633512,8.425021265442211e-05,0.00014024888346745524
loc_changed_vs_prev,3.755251161634224e-05,0.0,0.0003920306291818545,5.4129749757062434e-05,0.00012092822263881479
gr_comp_n_dev,0.00010480478719878914,0.00021745929396659237,9.351542846615003e-05,5.4346254525515706e-05,0.00011753144103926182
cust_pay_prior_n,0.00015051301328526993,0.00011490785594539668,0.00014748544619043737,5.56494870511074e-05,0.00011713895061805284
g_comp_n_dev,6.190706643085205e-05,0.0002071528301701238,0.0001215787955413538,7.082420976480264e-05,0.00011536572547678308
gr_cust_2hop,0.00010908865507667475,8.485136065662051e-05,0.00015367135997168806,8.888352109761755e-05,0.00010912372420065022
cust_amt_mean_1h,0.00012835760937015883,7.315484496245582e-05,0.00011373136319321153,0.00011263762307373934,0.0001069703601498914
cust_n_168h,6.676805220752146e-05,3.9361860343001056e-05,0.00023746244912986275,5.6896801361443605e-05,0.00010012229076045722
dev_burst_1h_24h,7.872948436975523e-05,7.49731869290933e-05,0.0001237507630716361,0.00010002085172919718,9.436857152492045e-05
g_comp_size_frac,5.099542342746103e-05,0.00023811852974020873,5.628139707441766e-05,1.2229230922146125e-05,8.940614529105839e-05
cust_new_loc_168h,0.00010411350672890611,0.0001259695534513662,8.065524450888401e-05,4.273599686913299e-05,8.836857538957232e-05
gr_cust_degree_dev,4.3737891099426796e-05,0.00010955034054541577,8.69341302962965e-05,2.7520595328627362e-05,6.693573931744161e-05
cust_mcat_prior_n,8.181926130636821e-05,4.040100203884147e-05,4.375473994381544e-05,4.944520304733859e-05,5.3855051584090927e-05
cust_new_merch,5.8639395190127346e-05,0.0,5.0151724768113575e-05,0.00010432990624424323,5.328025655062104e-05
is_weekend,3.668583494284615e-05,2.5486172343156693e-05,4.4639013716570954e-05,2.3161874877418443e-05,3.249322396999806e-05
cust_n_72h,2.150265219301608e-05,3.336924904958822e-05,1.4134998119063165e-05,2.6244701648007936e-05,2.381290025241885e-05
cust_new_dtype,1.8808244367213937e-05,2.177784179071759e-05,2.8760311153794258e-05,1.6730376919729254e-05,2.1519193557863763e-05
cust_n_24h,0.0,4.4370304256135095e-05,8.518810596759166e-06,0.0,1.3222278713223565e-05
g_same_component,1.6096013027708794e-05,1.0103560496408207e-05,0.0,0.0,6.549893381029251e-06
cust_new_pay,0.0,0.0,1.8930443569690432e-05,0.0,4.732610892422608e-06
dev_n_24h,0.0,1.677467760688097e-05,0.0,0.0,4.193669401720243e-06
cust_new_loc_24h,0.0,1.6682696571172007e-05,0.0,0.0,4.170674142793002e-06
cust_new_mcat,9.713440490766214e-06,0.0,0.0,0.0,2.4283601226915536e-06
custdev_n_24h,9.49549393034975e-06,0.0,0.0,0.0,2.3738734825874377e-06
cust_new_ttype,0.0,0.0,9.320920228878477e-06,0.0,2.3302300572196194e-06
amt_round_1000,0.0,0.0,0.0,0.0,0.0
amt_is_int,0.0,0.0,0.0,0.0,0.0
amt_round_100,0.0,0.0,0.0,0.0,0.0
merch_is_first_seen,0.0,0.0,0.0,0.0,0.0
dev_is_first_seen,0.0,0.0,0.0,0.0,0.0
